ref_url,url
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/#
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/mgn.png
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/favicon.ico
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t1.png
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t2.png
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t3.png
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t4.png
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t5.png
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t6.png
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t7.png
