ref_url,url,verdict
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/#,Malicious
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/mgn.png,Malicious
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/favicon.ico,Malicious
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t1.png,Malicious
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t2.png,Malicious
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t3.png,Malicious
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t4.png,Malicious
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t5.png,Malicious
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t6.png,Malicious
http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/,http://telecommunicationsaustralia.com.au/cgi-home/mountain.america.credit.union.sign-202-path/macu.com.sure.login.latest/images/t7.png,Malicious
http://serwer1949266.home.pl/att/index.html,https://www.att.com/olam/unauth/enterEmailForgotId.myworld?origination_point=att.net&Return_URL=http://www.att.net&Cancel_URL=http://www.att.net,Benign
http://serwer1949266.home.pl/att/index.html,https://adservice.google.com/adsid/integrator.js?domain=serwer1949266.home.pl,Benign
