url,verdict
https://pypal.support.thefounder.co.ke/login/PayPal-Billing/home/login/myaccount/signin/?country.x=US&locale.x=en_US,Malicious
https://securevermantydew.000webhostapp.com/security-customers/support/Support/myaccount/signin/,Benign
http://zorexnid.ml/p/Phisht4nk/,Malicious
http://advice77567.me/,Malicious
http://advice77567.me/step2.php,Malicious
http://advice77567.me/step22.php?iloveyou=&id=7ad823432cabb9ea18a08c85207a0f1d7ad823432cabb9ea18a08c85207a0f1d&session=7ad823432cabb9ea18a08c85207a0f1d7ad823432cabb9ea18a08c85207a0f1d&session2=7ad823432cabb9ea18a08c85207a0f1d7ad823432cabb9ea18a08c85207a0f1d&session3=7ad823432cabb9ea18a08c85207a0f1d7ad823432cabb9ea18a08c85207a0f1d,Malicious
https://modermoffice.com/officeline/outlook/index.php?email=info@locamation.nl,Benign
https://modermoffice.com/officeline/outlook/cf33c1e9fdb0cafeb0eddf591591bfdd/pass.php,Benign
https://modermoffice.com/officeline/outlook/cf33c1e9fdb0cafeb0eddf591591bfdd/error.php,Benign
http://vilaadria.com/doc/oneddrive/microsoft.php,Malicious
https://www.ltsbydurum.com/www.baybal.com/myaccount/home/signin/?country=United+States&local=en_US,Benign
http://onlinebankieren.5c5b5176ca410.prepaiddomain.de/scimelding/,Malicious
http://onlinebankieren.5c5b5176ca410.prepaiddomain.de/scimelding/Mijn%20ICS%20Gegevens.php,Malicious
http://onlinebankieren.5c5b5176ca410.prepaiddomain.de/scimelding/Mijn%20ICS%20Validatie.php,Malicious
https://advice77567.org/newauto2.php?iloveyou=&id=eded96c9eedf47a87fca8571017261d5eded96c9eedf47a87fca8571017261d5&session=eded96c9eedf47a87fca8571017261d5eded96c9eedf47a87fca8571017261d5&session2=eded96c9eedf47a87fca8571017261d5eded96c9eedf47a87fca8571017261d5&session3=eded96c9eedf47a87fca8571017261d5eded96c9eedf47a87fca8571017261d5,Benign
https://advice77567.org/step2.php,Malicious
https://advice77567.org/step22.php?iloveyou=&id=7ad823432cabb9ea18a08c85207a0f1d7ad823432cabb9ea18a08c85207a0f1d&session=7ad823432cabb9ea18a08c85207a0f1d7ad823432cabb9ea18a08c85207a0f1d&session2=7ad823432cabb9ea18a08c85207a0f1d7ad823432cabb9ea18a08c85207a0f1d&session3=7ad823432cabb9ea18a08c85207a0f1d7ad823432cabb9ea18a08c85207a0f1d,Malicious
https://revenu.quebec-qc.rq.dogslifespa.ca/cibc/index.php?id=3,Malicious
http://agreatbartender.com/wp-includes/images/media/Made-In-China.com/login.htm,Benign
https://velocitycomputersolutions.com/new/MWEB/mweb.htm,Malicious
https://fdhre.info/vodafone/verificatie/,Benign
