------------1---------------
'text/html',
'text/html; charset= UTF-8',
'text/html;charset=utf-8;',
'text/html; charset=windows-1256',
'text/html; charset= utf-8',
'text/html,
'text/html; charset=utf-8',
'text/html; charset=utf-8,gbk',
'text/html;charset=UTF-8; Charset=UTF-8',
'text/html; charset UTF-8;charset=UTF-8',
'text/html; charset=utf-8;',
'text/html; utf-8=;charset=UTF-8',
'text/html',
'text/html; charset=UTF-8',
'text/html; charset=utf-8',
'text/html;charset=utf-8',
'text/html;charset=UTF-8',
'text/html;Charset=utf-8',
'text/html; Charset=UTF-8',
'text/html; charset=utf-8',
'text/html; charset=utf8',
'text/html; Charset=utf-8',
'text/html;Charset=utf-8;charset=UTF-8',
'text/html; charset=iso-8859-1',
'text/html;charset=ISO-8859-1',
'text/html; charset=ISO-8859-1',
'text/html; charset=UTF-8',
'text/html; Charset=UTF-8;charset=UTF-8',
'text/html; charset=UTF-8;',
'text/html;charset=utf8',
'text/html; charset-UTF-8;charset=UTF-8'


------2------
'text/html; charset=gb2312',
'text/html; Charset=gb2312',
'text/html;charset=gb2312',
'text/html;charset=GB2312',
'text/html; charset=gb2312,
'text/html; charset=gb2312; charset=gb2312',
'text/html; Charset=GB2312',
'*/*;charset=gb2312',

------3------
'image/jpeg; charset=UTF-8',
'image/gif;charset=utf-8',
'image/x-icon',
'image/jpeg;charset=UTF-8',
'image/gif; charset=utf-8',
'image/JPEG',
'image/jpeg; charset=binary',
'image/png;charset=UTF-8',
'image/png; charset=binary',
'image/jpeg',
'image/gif',
'image/png',
'image/gif;charset=UTF-8',
----4------
'application/json; charset=utf-8',
'application/json;charset=UTF-8',
'application/json; charset=UTF-8',
'application/json',
